location,bedrooms,Bathrooms,area,carpet_area,ownership,sale_type,age_of_the_property,plot_type,floor,Furnishing,Status,Facing,Actual_Price
Velachery,2,2,288,1153,Individual,New,15 to 20 years,House & Villas,1,Unfurnished,Ready to Move,East,1368843
Guduvancheri,3,2,1800,1600,Individual,New,Under Construction,House & Villas,1,Furnished,Under Construction,East,11605979
Urapakkam,2,2,384,852,Individual,New,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,North East,1368843
Urapakkam,2,2,1126,1042,Individual,Resale,10 to 15 years,House & Villas,1,Semi-Furnished,Ready to Move,North,5340967
Madambakkam,2,2,888,797,Individual,New,10 to 15 years,House & Villas,1,Semi-Furnished,Ready to Move,North,4464305
Gst Road,2,2,1200,1125,Individual,New,Type,House & Villas,3,Semi-Furnished,Ready to Move,West,5340967
Medavakkam,2,2,1107,2090,Individual,New,10 to 15 years,House & Villas,0,Unfurnished,Ready to Move,South,5340967
Pallikaranai,2,2,1200,1353,Individual,New,0 to 5 years,House & Villas,0,Semi-Furnished,Ready to Move,West,5340967
Thiruporur,2,2,907,833,Individual,Resale,Under Construction,House & Villas,1,Unfurnished,Ready to Move,South,5340967
Vadapalani,1,1,297,1692,Individual,Resale,10 to 15 years,House & Villas,3,Unfurnished,Ready to Move,North,1368843
Omr,2,2,625,1550,Individual,Resale,Type,House & Villas,1,Furnished,Ready to Move,North,1974663
Madipakkam,2,2,711,1044,Individual,Resale,10 to 15 years,House & Villas,0,Furnished,Ready to Move,South,3207974
Omr,2,2,1250,1100,Individual,Resale,10 to 15 years,House & Villas,0,Semi-Furnished,Ready to Move,North,8220926
Pozhichallur,2,2,855,784,Individual,New,10 to 15 years,House & Villas,0,Unfurnished,Ready to Move,East,4464305
Ayyapanthangal,2,2,800,1100,Individual,Resale,10 to 15 years,House & Villas,0,Semi-Furnished,Ready to Move,North,4464305
Salaigaram,2,2,2000,170,Individual,Resale,10 to 15 years,House & Villas,0,Unfurnished,Ready to Move,East,12136114
Kelambakkam,2,2,1000,1392,Individual,Resale,10 to 15 years,House & Villas,1,Furnished,Ready to Move,East,5340967
Adambakkam,2,2,577,541,Individual,Resale,10 to 15 years,House & Villas,0,Furnished,Ready to Move,North,3593155
Madipakkam,2,2,850,714,Individual,Resale,10 to 15 years,House & Villas,1,Furnished,Ready to Move,North,4464305
Kolathur,2,2,880,871,Individual,New,New Construction,House & Villas,0,Unfurnished,Ready to Move,East,3492296
Kelambakkam,2,2,1012,1180,Builder,New,Under Construction,House & Villas,1,Furnished,Ready to Move,East,5340967
Moolakadai,2,2,750,1200,Individual,Resale,5 to 10 years,House & Villas,1,Semi-Furnished,Ready to Move,South,3207974
Chrompet,3,3,1150,4014,Individual,Resale,Type,House & Villas,1,Unfurnished,Ready to Move,East,6798035
Omr,2,2,1200,765,Individual,Resale,10 to 15 years,House & Villas,1,Unfurnished,Ready to Move,North,5340967
Kovilambakkam,2,1,720,1350,Individual,Resale,Under Construction,House & Villas,1,Furnished,Ready to Move,East,3207974
Omr,1,1,582,1155,Individual,Resale,Under Construction,House & Villas,1,Furnished,Under Construction,West,1974663
Kilpauk,3,3,2900,1372,Individual,New,0 to 5 years,Penthouse,0,Semi-Furnished,Ready to Move,South,28755605
Sithalapakkam,2,2,1000,800,Individual,Resale,0 to 5 years,Penthouse,13,Unfurnished,Ready to Move,South,5340967
Chrompet,3,3,1330,10800,Individual,Resale,0 to 5 years,Penthouse,3,Semi-Furnished,Ready to Move,East,8220926
Saligramam,2,2,685,835,Agent,New,New Construction,Penthouse,12,Unfurnished,Ready to Move,North,3207974
Urapakkam,3,3,1249,800,Individual,Resale,New Construction,Penthouse,0,Unfurnished,Ready to Move,East,8220926
Urapakkam,2,2,950,1029,Individual,New,New Construction,Penthouse,7,Furnished,Ready to Move,East,5340967
Medavakkam,2,2,2400,1317,Individual,New,New Construction,Penthouse,10,Semi-Furnished,Ready to Move,East,13964714
Madipakkam,3,2,800,1247,Individual,New,New Construction,Penthouse,10,Unfurnished,Ready to Move,East,9003150
Ashok Nagar,3,3,1950,697,Individual,Resale,0 to 5 years,Penthouse,0,Unfurnished,Ready to Move,North,13016328
Madipakkam,3,2,1200,1247,Individual,New,New Construction,Penthouse,10,Unfurnished,Ready to Move,East,6798035
Thiruvotriyur,1,1,2400,765,Agent,Resale,15 to 20 years,Flats,1,Furnished,Ready to Move,East,40008000
Velachery,2,2,288,500,Individual,Resale,15 to 20 years,Flats,1,Semi-Furnished,Ready to Move,South,1368843
Sriperumbudur,3,3,1300,1900,Individual,Resale,15 to 20 years,Flats,1,Semi-Furnished,Ready to Move,South,8220926
Selaiyur,3,3,1241,680,Individual,Resale,5 to 10 years,Flats,2,Unfurnished,Ready to Move,West,8005901
Velachery,2,2,990,560,Individual,Resale,10 to 15 years,Flats,2,Furnished,Ready to Move,East,5340967
Sholinganallur,2,2,875,494,Others,Resale,0 to 5 years,Flats,1,Unfurnished,Under Construction,East,4464305
Adambakkam,2,2,523,1061,Individual,Resale,0 to 5 years,Flats,3,Unfurnished,Ready to Move,West,3593155
Velachery,2,2,850,550,Individual,New,0 to 5 years,Flats,1,Semi-Furnished,Ready to Move,East,4464305
Urapakkam,2,1,1002,935,Builder,New,Under Construction,Flats,1,Semi-Furnished,Under Construction,East,5340967
Thiruvanmiyur,2,2,800,1357,Individual,New,10 to 15 years,Flats,2,Semi-Furnished,Ready to Move,East,4464305
Kovilambakkam,2,2,500,772,Agent,New,Under Construction,Flats,3,Unfurnished,Ready to Move,East,18000000
Tambaram,2,2,908,1072,Builder,New,0 to 5 years,Flats,10,Furnished,Ready to Move,East,5340967
Omr,2,2,1012,668,Agent,Resale,Under Construction,Flats,1,Unfurnished,Ready to Move,East,5340967
Ashok Nagar,3,3,2400,780,Individual,Resale,0 to 5 years,Flats,1,Furnished,Ready to Move,South,47485790
Oragadam,2,3,1200,660,Builder,New,0 to 5 years,Flats,1,Unfurnished,Under Construction,North,5340967
East Coast Road,2,2,1004,812,Individual,New,Under Construction,Flats,1,Unfurnished,Ready to Move,East,5340967
Thirumalla Voil,2,2,791,683,Individual,New,Under Construction,Flats,1,Unfurnished,Ready to Move,North,3492296
Urapakkam,1,1,625,1100,Individual,Resale,0 to 5 years,Flats,3,Unfurnished,Ready to Move,North,1974663
Perugundi,2,2,1800,680,Agent,Resale,New Construction,Flats,1,Semi-Furnished,Ready to Move,East,9168871
Kodambakkam,3,3,3281,100,Individual,New,New Construction,Flats,1,Semi-Furnished,Under Construction,North East,95005440
Velachery,2,2,1148,917,Individual,Resale,0 to 5 years,Flats,2,Semi-Furnished,Ready to Move,East,5340967
Saligramam,2,2,600,1750,Individual,Resale,0 to 5 years,Flats,1,Furnished,Ready to Move,East,1974663
Alwarthiru Nagar,3,2,1053,794,Builder,New,0 to 5 years,Flats,3,Semi-Furnished,Ready to Move,East,6798035
Valasaravakkam,2,2,1082,800,Builder,New,Above 20 years,Flats,2,Unfurnished,Ready to Move,East,5340967
Sholinganallur,3,3,1850,444,Individual,Resale,5 to 10 years,Flats,2,Unfurnished,Ready to Move,West,12136114
Omr,2,2,550,1050,Individual,Resale,Under Construction,Flats,1,Unfurnished,Ready to Move,North,1974663
Anna Nagar,3,2,1175,24041,Individual,New,Under Construction,Flats,3,Unfurnished,Under Construction,East,6798035
Omr,2,2,1012,500,Agent,Resale,New Construction,Flats,1,Unfurnished,Ready to Move,North,5340967
Korattur,2,1,550,803,Builder,New,Under Construction,Flats,1,Unfurnished,Under Construction,East,3593155
Avadi,2,2,750,802,Individual,Resale,New Construction,Flats,2,Unfurnished,Ready to Move,East,3207974
Madipakkam,2,2,737,671,Individual,Resale,10 to 15 years,Flats,1,Semi-Furnished,Ready to Move,East,3207974
Tambaram,2,2,1060,800,Individual,New,0 to 5 years,Flats,1,Unfurnished,Ready to Move,North,5340967
Palavakkam,2,2,1100,786,Individual,Resale,10 to 15 years,Flats,1,Semi-Furnished,Ready to Move,North,5340967
Pammal,2,2,871,620,Builder,New,Under Construction,Flats,2,Unfurnished,Ready to Move,East,3492296
Kattupakkam,2,2,1050,1082,Individual,Resale,0 to 5 years,Flats,0,Semi-Furnished,Ready to Move,North,5340967
Korattur,2,2,2,752,Individual,Resale,10 to 15 years,Flats,0,Semi-Furnished,Ready to Move,South East,4320000
T Nagar,3,2,1600,800,Individual,Resale,10 to 15 years,Flats,0,Furnished,Ready to Move,North,9168871
Thiruvanmiyur,2,2,840,968,Builder,New,0 to 5 years,Flats,4,Semi-Furnished,Ready to Move,West,4300990
Kilpauk,4,4,1450,1740,Individual,New,0 to 5 years,Flats,1,Semi-Furnished,Ready to Move,North,9184526
Avadi Indra Nagar,2,2,1200,915,Individual,Resale,New Construction,Flats,3,Semi-Furnished,Ready to Move,East,5340967
Avadi,2,2,420,673,Individual,Resale,5 to 10 years,Flats,2,Furnished,Ready to Move,West,3593155
Nungambakkam,2,2,1083,480,Others,New,Under Construction,Flats,1,Semi-Furnished,Upcoming,East,6250954
Alwarpet,3,3,1250,750,Individual,Resale,0 to 5 years,Flats,1,Semi-Furnished,Ready to Move,East,8220926
K Nagar,2,2,970,590,Individual,New,10 to 15 years,Flats,1,Furnished,Under Construction,South,5340967
Virugambakkam,2,2,858,1000,Individual,New,Under Construction,Flats,2,Unfurnished,Ready to Move,North East,3492296
Vandalur,2,2,789,350,Builder,New,New Construction,Flats,1,Unfurnished,Ready to Move,South,3492296
Perambur,3,3,1481,516,Builder,New,Under Construction,Flats,1,Semi-Furnished,Ready to Move,East,8220926
Thoraipakkam,2,2,985,1001,Builder,New,Under Construction,Flats,1,Unfurnished,Under Construction,North,5340967
Omr,2,2,500,785,Individual,Resale,New Construction,Flats,4,Unfurnished,Ready to Move,East,1974663
Pallavaram,1,1,578,555,Individual,Resale,5 to 10 years,Flats,1,Semi-Furnished,Ready to Move,North,1974663
Madanandapuram,2,2,813,896,Builder,New,Under Construction,Flats,2,Unfurnished,Under Construction,East,3492296
Porur,2,2,902,573,Others,New,New Construction,Flats,-1,Unfurnished,Under Construction,East,5340967
Madipakkam,2,2,907,960,Individual,Resale,15 to 20 years,Flats,0,Semi-Furnished,Ready to Move,South,5340967
Madanandapuram,3,2,1680,1602,Agent,New,0 to 5 years,Flats,2,Unfurnished,Ready to Move,North,8722378
Egmore,2,1,900,585,Individual,Resale,Above 20 years,Flats,0,Semi-Furnished,Ready to Move,North,5340967
Chrompet,1,1,522,989,Individual,Resale,0 to 5 years,Flats,4,Furnished,Ready to Move,West,2406982
Chemmancheri,3,3,1620,1100,Individual,Resale,0 to 5 years,Flats,4,Semi-Furnished,Ready to Move,North,8722378
Mogappair,2,2,710,602,Individual,Resale,15 to 20 years,Flats,3,Furnished,Ready to Move,North,3207974
Choolaimedu,1,1,700,480,Builder,New,0 to 5 years,Flats,1,Furnished,Under Construction,North,3207974
Chrompet,2,2,1085,986,Agent,Resale,15 to 20 years,Flats,2,Semi-Furnished,Ready to Move,North,5340967
Gst Road,2,2,1079,100,Individual,New,0 to 5 years,Flats,1,Semi-Furnished,Ready to Move,North,5340967
Purasawalkam,4,3,2400,1068,Builder,New,New Construction,Flats,1,Unfurnished,Ready to Move,North,17500000
Avadi,2,2,590,392,Individual,Resale,0 to 5 years,Flats,1,Unfurnished,Ready to Move,East,3593155
Chembakkam,2,2,667,950,Individual,Resale,Under Construction,Flats,1,Unfurnished,Ready to Move,East,3207974
Thiruporur,2,2,917,605,Individual,Resale,Under Construction,Flats,0,Semi-Furnished,Ready to Move,East,5340967
Thoraipakkam,2,2,800,2710,Individual,New,0 to 5 years,Flats,13,Furnished,Under Construction,East,9003150
Omr,2,2,955,750,Builder,New,0 to 5 years,Flats,2,Semi-Furnished,Ready to Move,North,5340967
Ambattur,2,1,650,947,Individual,Resale,0 to 5 years,Flats,1,Semi-Furnished,Ready to Move,East,3207974
Urapakkam,2,1,600,1080,Individual,Resale,Under Construction,Flats,2,Unfurnished,Ready to Move,East,1974663
Manivakkam,2,2,83,910,Builder,New,0 to 5 years,Flats,1,Unfurnished,Under Construction,East,1368843
Pammal,2,2,930,1800,Individual,New,0 to 5 years,Flats,0,Semi-Furnished,Ready to Move,South,5340967
Mogappair West,2,2,1037,1150,Individual,New,0 to 5 years,Flats,2,Unfurnished,Under Construction,East,5340967
Omr,3,3,1275,710,Individual,New,5 to 10 years,Flats,1,Semi-Furnished,Under Construction,West,8220926
Nungambakkam,2,2,1050,480,Builder,New,Under Construction,Flats,2,Semi-Furnished,Upcoming,East,6250954
Pallikaranai,3,3,1452,975,Agent,Resale,Under Construction,Flats,1,Unfurnished,Ready to Move,East,8220926
Omr,2,2,907,1120,Individual,Resale,Under Construction,Flats,1,Unfurnished,Ready to Move,East,5340967
Besant Nagar,3,1,894,926,Individual,Resale,10 to 15 years,Flats,1,Semi-Furnished,Ready to Move,South,6798035
Velachery,3,2,1031,603,Builder,New,New Construction,Flats,1,Unfurnished,Ready to Move,East,6798035
Chrompet,2,2,800,12500,Individual,Resale,5 to 10 years,Flats,3,Semi-Furnished,Ready to Move,South,4464305
K Nagar,2,1,752,854,Builder,New,New Construction,Flats,1,Unfurnished,Ready to Move,North East,3207974
Urapakkam,2,2,780,335,Individual,Resale,5 to 10 years,Flats,0,Semi-Furnished,Ready to Move,East,4464305
East Tambaram,1,1,510,800,Individual,Resale,0 to 5 years,Flats,3,Unfurnished,Ready to Move,North,2406982
Mogappair,2,2,977,1540,Agent,New,15 to 20 years,Flats,1,Semi-Furnished,Ready to Move,North,5340967
Omr,3,3,1903,468,Individual,New,New Construction,Flats,4,Unfurnished,Ready to Move,East,12136114
Madipakkam,2,2,700,763,Individual,New,0 to 5 years,Flats,2,Unfurnished,Ready to Move,West,3207974
Chrompet,2,2,810,800,Individual,New,New Construction,Flats,1,Unfurnished,Ready to Move,East,3492296
Ayyapanthangal,2,2,830,307,Individual,Resale,10 to 15 years,Flats,3,Unfurnished,Ready to Move,North,4464305
Anna Nagar,1,1,520,601,Individual,Resale,10 to 15 years,Flats,4,Semi-Furnished,Ready to Move,East,2406982
Mogappair,3,3,1200,593,Individual,Resale,5 to 10 years,Flats,1,Semi-Furnished,Ready to Move,East,6798035
Koyambedu,3,3,1545,723,Individual,Resale,New Construction,Flats,0,Semi-Furnished,Ready to Move,East,9168871
Alandur,3,3,1350,1376,Individual,Resale,0 to 5 years,Flats,3,Unfurnished,Ready to Move,North,8220926
Muglivakkam,3,3,1893,2224,Builder,New,0 to 5 years,Flats,1,Unfurnished,Ready to Move,North,11605979
Madipakkam,2,2,885,2880,Agent,New,Under Construction,Flats,3,Unfurnished,Under Construction,East,3492296
Keelkattalai,3,3,1190,626,Builder,New,New Construction,Flats,2,Semi-Furnished,Ready to Move,East,6798035
Korattur,1,1,480,100,Builder,New,0 to 5 years,Flats,2,Furnished,Ready to Move,South,2406982
Kattupakkam,3,3,1273,477,Builder,New,0 to 5 years,Flats,1,Semi-Furnished,Ready to Move,North,8220926
Nolambur,2,2,950,600,Individual,New,0 to 5 years,Flats,1,Semi-Furnished,Ready to Move,North,5340967
Egmore,2,2,800,1376,Builder,New,0 to 5 years,Flats,3,Unfurnished,Under Construction,North,4464305
Kilpauk,2,2,1100,1000,Individual,Resale,10 to 15 years,Flats,2,Semi-Furnished,Ready to Move,East,5340967
T Nagar,4,4,3060,760,Individual,Resale,0 to 5 years,Flats,0,Unfurnished,Ready to Move,North,74180500
Perumbakkam Vijaya Nagar,2,2,1180,582,Builder,New,0 to 5 years,Flats,-1,Unfurnished,Under Construction,East,5340967
Omr,2,2,1012,1147,Agent,Resale,0 to 5 years,Flats,1,Furnished,Ready to Move,West,5340967
Oragadam,1,2,551,825,Individual,Resale,0 to 5 years,Flats,1,Furnished,Ready to Move,West,1974663
Omr,2,2,1012,710,Individual,New,0 to 5 years,Flats,1,Unfurnished,Ready to Move,North,5340967
Madhavaram,2,2,935,450,Individual,New,10 to 15 years,Flats,12,Furnished,Ready to Move,South,5340967
Madambakkam,1,1,522,620,Builder,New,New Construction,Flats,1,Semi-Furnished,Ready to Move,North,1974663
Kovilambakkam,2,2,857,1000,Individual,Resale,10 to 15 years,Flats,0,Furnished,Ready to Move,East,4464305
T Nagar,2,2,1200,993,Individual,Resale,5 to 10 years,Flats,2,Semi-Furnished,Ready to Move,North,5340967
Madipakkam,2,2,857,700,Individual,Resale,5 to 10 years,Flats,2,Semi-Furnished,Ready to Move,East,4464305
Madipakkam,2,2,857,438,Builder,New,0 to 5 years,Flats,1,Semi-Furnished,Under Construction,North,4464305
Kovilambakkam,2,2,857,845,Individual,New,0 to 5 years,Flats,1,Unfurnished,Ready to Move,North,4464305
Velachery,2,2,28800,1000,Individual,Resale,0 to 5 years,Flats,3,Unfurnished,Ready to Move,East,4826600
Thiruneermalai Main Road,2,2,870,780,Individual,New,New Construction,Flats,1,Furnished,Ready to Move,East,3492296
Kovilambakkam,3,3,1386,592,Builder,New,New Construction,Flats,1,Unfurnished,Under Construction,South,8220926
Vandalur,2,2,700,899,Individual,Resale,New Construction,Flats,4,Unfurnished,Ready to Move,East,3207974
Kovilambakkam,3,3,1386,367,Individual,Resale,0 to 5 years,Flats,1,Unfurnished,Ready to Move,East,8220926
Kovilambakkam,3,3,1149,800,Builder,New,New Construction,Flats,1,Unfurnished,Under Construction,East,6798035
Kovilambakkam,2,2,857,980,Agent,New,0 to 5 years,Flats,2,Semi-Furnished,Ready to Move,North,4464305
Vadapalani,3,3,1495,1200,Builder,Resale,New Construction,Flats,0,Semi-Furnished,Ready to Move,East,8220926
Chrompet,2,2,907,760,Agent,Resale,15 to 20 years,Flats,1,Unfurnished,Ready to Move,North,5340967
Chemmancheri,3,2,8600,700,Individual,New,Under Construction,Flats,1,Unfurnished,Ready to Move,East,28221518
Ra Puram,4,4,2200,516,Individual,Resale,0 to 5 years,Flats,0,Unfurnished,Ready to Move,West,12136114
Alwarpet,2,2,800,800,Individual,New,0 to 5 years,Flats,2,Furnished,Ready to Move,South,4464305
Muglivakkam,2,2,930,295,Builder,New,Under Construction,Flats,0,Unfurnished,Ready to Move,East,5340967
Omr,2,2,1275,750,Individual,Resale,New Construction,Flats,2,Furnished,Ready to Move,East,8220926
Omr,2,2,1275,622,Individual,New,Under Construction,Flats,1,Unfurnished,Under Construction,East,8220926
Omr,3,3,1472,278,Individual,Resale,5 to 10 years,Flats,1,Unfurnished,Ready to Move,East,8220926
Mahalingapuram,2,2,1050,900,Individual,Resale,New Construction,Flats,0,Furnished,Ready to Move,East,5340967
Adyar,3,3,1250,750,Individual,Resale,New Construction,Flats,0,Unfurnished,Ready to Move,East,23500000
Omr,2,2,940,735,Builder,New,New Construction,Flats,1,Unfurnished,Ready to Move,East,5340967
Rajakilpakkam,2,2,984,650,Individual,New,New Construction,Flats,1,Unfurnished,Ready to Move,North,5340967
Ambattur,2,2,1100,911,Individual,New,0 to 5 years,Flats,1,Semi-Furnished,Ready to Move,East,5340967
K Nagar,2,2,1020,645,Individual,New,Under Construction,Flats,2,Unfurnished,Ready to Move,East,5340967
Omr,3,3,1472,400,Individual,Resale,New Construction,Flats,2,Unfurnished,Ready to Move,East,8220926
Besant Nagar,2,3,857,605,Individual,Resale,Above 20 years,Flats,0,Semi-Furnished,Ready to Move,North,4464305
Kolathur,2,2,670,653,Individual,Resale,0 to 5 years,Flats,0,Semi-Furnished,Ready to Move,East,3207974
Anna Nagar,3,3,1650,644,Individual,New,Under Construction,Flats,1,Unfurnished,Under Construction,East,13016328
Ramapuram,2,2,530,644,Individual,New,Under Construction,Flats,1,Unfurnished,Under Construction,East,1974663
Urapakkam,3,2,1235,1800,Builder,New,New Construction,Flats,0,Unfurnished,Ready to Move,North,8005901
Urapakkam,2,2,920,837,Individual,New,Under Construction,Flats,2,Unfurnished,Under Construction,North,5340967
Nolambur,3,3,1403,865,Builder,New,Under Construction,Flats,0,Unfurnished,Under Construction,South,8220926
Omr,2,2,630,1300,Builder,New,Under Construction,Flats,1,Semi-Furnished,Under Construction,North,3207974
Madipakkam,4,4,1650,2773,Builder,New,10 to 15 years,Flats,2,Unfurnished,Ready to Move,East,8722378
Pallikaranai,2,2,1123,497,Individual,New,0 to 5 years,Flats,1,Unfurnished,Ready to Move,North,5340967
T Nagar,2,2,795,605,Individual,Resale,Under Construction,Flats,0,Semi-Furnished,Ready to Move,East,3492296
Oragadam,2,2,953,760,Individual,Resale,0 to 5 years,Flats,13,Furnished,Ready to Move,West,5340967
Chennai Central R S,15,15,11000,350,Individual,Resale,10 to 15 years,Flats,0,Furnished,Ready to Move,South,42500000
Perambur,2,2,945,600,Individual,Resale,15 to 20 years,Flats,1,Semi-Furnished,Ready to Move,East,5340967
Ashok Nagar,1,1,500,1600,Individual,Resale,0 to 5 years,Flats,6,Furnished,Ready to Move,South,2406982
Medavakkam,3,3,1700,100,Individual,Resale,5 to 10 years,Flats,2,Semi-Furnished,Ready to Move,East,12136114
West Mambalam,1,1,527,670,Individual,New,10 to 15 years,Flats,1,Semi-Furnished,Ready to Move,West,5332700
Alwarthiru Nagar,2,2,940,650,Individual,New,New Construction,Flats,4,Semi-Furnished,Ready to Move,East,5340967
Valasaravakkam,1,1,511,760,Individual,New,0 to 5 years,Flats,11,Furnished,Ready to Move,West,1974663
Madambakkam,2,2,1000,670,Individual,New,Under Construction,Flats,2,Unfurnished,Ready to Move,South,5340967
Padi,2,2,676,640,Individual,New,0 to 5 years,Flats,1,Semi-Furnished,Ready to Move,East,3207974
Medavakkam,2,2,798,904,Individual,New,Under Construction,Flats,1,Unfurnished,Under Construction,East,3492296
Porur,2,2,851,697,Individual,Resale,New Construction,Flats,2,Unfurnished,Under Construction,East,3492296
Nungambakkam,3,3,1500,425,Individual,New,Under Construction,Flats,10,Furnished,Ready to Move,South East,12136114
Vadapalani,2,2,709,691,Individual,New,0 to 5 years,Flats,1,Unfurnished,Under Construction,East,3207974
Thoraipakkam,3,3,1350,756,Individual,New,15 to 20 years,Flats,1,Furnished,Ready to Move,North,8220926
Perugundi,2,2,3152,384,Individual,Resale,New Construction,Flats,1,Unfurnished,Ready to Move,East,21400011
Omr,2,2,900,2400,Individual,Resale,0 to 5 years,Flats,1,Furnished,Under Construction,East,5340967
Madipakkam,2,2,890,752,Individual,New,10 to 15 years,Flats,0,Unfurnished,Ready to Move,South,4464305
Virugambakkam,2,2,630,650,Individual,Resale,Under Construction,Flats,0,Unfurnished,Ready to Move,East,3207974
Alwarpet,3,3,1500,1000,Individual,New,Under Construction,Flats,1,Unfurnished,Ready to Move,East,20030613
Egmore,3,2,1460,875,Individual,New,0 to 5 years,Flats,13,Unfurnished,Ready to Move,West,8220926
Kolathur,2,2,850,1330,Individual,Resale,Above 20 years,Flats,1,Unfurnished,Ready to Move,South,4464305
Anna Nagar,3,3,1350,553,Individual,New,Under Construction,Flats,1,Unfurnished,Under Construction,West,8220926
Tambaram,2,2,700,1100,Individual,Resale,15 to 20 years,Flats,2,Semi-Furnished,Ready to Move,South,3207974
Manivakkam,2,2,915,510,Individual,Resale,0 to 5 years,Flats,0,Unfurnished,Ready to Move,East,5340967
Porur,2,1,890,785,Individual,New,0 to 5 years,Flats,1,Semi-Furnished,Ready to Move,North,4464305
Pallavaram,1,1,578,925,Individual,New,New Construction,Flats,2,Unfurnished,Ready to Move,West,1974663
Omr,2,2,917,865,Builder,New,New Construction,Flats,4,Semi-Furnished,Ready to Move,North West,5340967
Velachery,2,3,1200,200,Individual,Resale,0 to 5 years,Flats,4,Semi-Furnished,Ready to Move,East,5340967
Medavakkam,2,2,781,1400,Individual,Resale,Under Construction,Flats,2,Unfurnished,Ready to Move,South,3492296
Perungalathur,2,2,750,1200,Individual,Resale,0 to 5 years,Flats,2,Unfurnished,Ready to Move,East,3207974
Egmore,3,3,1600,1100,Builder,New,0 to 5 years,Flats,1,Furnished,Ready to Move,South,11605979
Ambattur,2,2,707,678,Individual,Resale,0 to 5 years,Flats,2,Semi-Furnished,Ready to Move,East,3207974
Villivakkam,3,2,1256,842,Individual,New,0 to 5 years,Flats,2,Unfurnished,Under Construction,North,8220926
Madipakkam,2,2,880,800,Individual,Resale,15 to 20 years,Flats,1,Unfurnished,Ready to Move,West,4464305
T Nagar,2,3,1255,900,Individual,New,New Construction,Flats,2,Unfurnished,Ready to Move,North,8220926
Kandanchavadi,2,2,1175,900,Individual,New,Under Construction,Flats,2,Unfurnished,Under Construction,East,5340967
Thiruporur,3,3,1275,1076,Others,New,New Construction,Flats,1,Unfurnished,Ready to Move,North,8220926
Perambur,2,2,805,307,Individual,New,Under Construction,Flats,1,Unfurnished,Ready to Move,East,3492296
neelankarai,2,2,800,589,Individual,Resale,0 to 5 years,Flats,3,Unfurnished,Ready to Move,East,4464305
Perungalathur,2,2,850,680,Individual,Resale,10 to 15 years,Flats,2,Semi-Furnished,Ready to Move,North,4464305
Omr,3,3,1400,770,Individual,Resale,New Construction,Flats,0,Unfurnished,Ready to Move,East,8220926
Rajakilpakkam,2,2,850,438,Individual,New,0 to 5 years,Flats,1,Semi-Furnished,Ready to Move,North,4464305
Ambattur,3,2,1210,850,Individual,Resale,0 to 5 years,Flats,1,Unfurnished,Ready to Move,East,6798035
Chengalpattu,2,2,800,1300,Builder,New,10 to 15 years,Flats,1,Furnished,Under Construction,South,4464305
Kotturpuram,2,2,1065,818,Individual,Resale,10 to 15 years,Flats,0,Semi-Furnished,Ready to Move,North West,5340967
Omr,3,2,4573800,932,Builder,New,Under Construction,Flats,1,Unfurnished,Under Construction,East,43000000
Mahalingapuram,3,3,1418,850,Individual,Resale,New Construction,Flats,0,Furnished,Ready to Move,East,8220926
Manali,2,2,815,771,Builder,New,0 to 5 years,Flats,1,Unfurnished,Ready to Move,South,4464305
Velachery,2,2,1125,390,Individual,Resale,Above 20 years,Flats,0,Semi-Furnished,Ready to Move,South,5340967
Kolapakkam,2,2,800,980,Individual,Resale,0 to 5 years,Flats,2,Furnished,Ready to Move,North,4464305
Villivakkam,2,2,834,657,Others,Resale,5 to 10 years,Flats,0,Semi-Furnished,Ready to Move,East,4464305
Maduravayol,3,3,1465,980,Individual,Resale,0 to 5 years,Flats,2,Unfurnished,Ready to Move,East,8220926
Porur,2,2,650,710,Individual,New,New Construction,Flats,2,Unfurnished,Under Construction,East,3207974
Kodambakkam,3,3,1250,700,Individual,Resale,New Construction,Flats,1,Semi-Furnished,Under Construction,North East,8220926
Kelambakkam,2,2,1160,1450,Others,Resale,10 to 15 years,Flats,0,Semi-Furnished,Ready to Move,East,5340967
Thiruvanmiyur,2,2,1050,549,Individual,Resale,Under Construction,Flats,1,Unfurnished,Ready to Move,East,5340967
Omr,2,2,1261,1165,Individual,Resale,5 to 10 years,Flats,4,Semi-Furnished,Ready to Move,North,8220926
Chrompet,2,2,760,335,Builder,New,Under Construction,Flats,2,Unfurnished,Ready to Move,East,3492296
Thiruporur,2,2,917,777,Builder,New,New Construction,Flats,1,Unfurnished,Ready to Move,North,5340967
Thiruvanmiyur,2,2,765,574,Individual,Resale,Above 20 years,Flats,1,Semi-Furnished,Ready to Move,West,4464305
Porur,2,2,790,785,Individual,Resale,Under Construction,Flats,0,Unfurnished,Ready to Move,East,3492296
Avadi,2,2,1100,1075,Individual,Resale,0 to 5 years,Flats,1,Unfurnished,Ready to Move,East,5340967
Perumbakkam,2,2,1100,470,Individual,Resale,0 to 5 years,Flats,1,Furnished,Ready to Move,South,5340967
Thoraipakkam,3,3,2100,756,Individual,Resale,0 to 5 years,Flats,1,Unfurnished,Ready to Move,North,9168871
Thoraipakkam,3,3,1354,526,Individual,Resale,0 to 5 years,Flats,1,Semi-Furnished,Ready to Move,North,8220926
Royapettah,2,1,600,1092,Individual,Resale,0 to 5 years,Flats,3,Semi-Furnished,Ready to Move,East,1974663
