location,bedrooms,Bathrooms,area,carpet_area,ownership,sale_type,age_of_the_property,plot_type,floor,Furnishing,Status,Facing,Actual_Price
Porur,3,3,1247,1133,Individual,Resale,10 to 15 years,Builder Floors,3,Unfurnished,Ready to Move,North,8220926
Urapakkam,2,2,977,640,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,South,5340967
Rajakilpakkam,2,2,670,405,Individual,Resale,Under Construction,Builder Floors,2,Unfurnished,Under Construction,East,3207974
Anna Nagar West,2,2,950,655,Individual,Resale,Above 20 years,Builder Floors,2,Semi-Furnished,Ready to Move,East,5340967
Mandavelli,1,1,641,285,Individual,Resale,5 to 10 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,3207974
Madhavaram,1,1,700,700,Individual,New,10 to 15 years,Builder Floors,1,Unfurnished,Ready to Move,East,3207974
T Nagar,2,2,700,1692,Individual,Resale,5 to 10 years,Builder Floors,2,Semi-Furnished,Ready to Move,South,3207974
T Nagar,2,2,600,1692,Individual,Resale,10 to 15 years,Builder Floors,2,Semi-Furnished,Ready to Move,North,3033039
Madipakkam,2,2,960,592,Individual,Resale,0 to 5 years,Builder Floors,2,Furnished,Ready to Move,South,5340967
Mudichur,3,2,1500,4536,Individual,Resale,0 to 5 years,Builder Floors,2,Unfurnished,Ready to Move,South,24304800
Perubakkam,2,2,956,790,Individual,Resale,0 to 5 years,Builder Floors,1,Unfurnished,Ready to Move,East,5340967
Pallikaranai,2,2,1319,885,Individual,New,Under Construction,Builder Floors,1,Unfurnished,Under Construction,East,8220926
Adambakkam,2,2,756,750,Individual,Resale,15 to 20 years,Builder Floors,1,Unfurnished,Ready to Move,East,4421651
Porur,2,2,727,646,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,3207974
Medavakkam,2,2,931,890,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,East,5340967
Ambattur,2,2,914,834,Individual,Resale,0 to 5 years,Builder Floors,2,Semi-Furnished,Ready to Move,North,5340967
Urapakkam,3,3,1370,950,Builder,New,Under Construction,Builder Floors,7,Unfurnished,Under Construction,South East,8220926
Thoraipakkam,2,2,912,780,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5340967
Medavakkam,2,2,965,890,Builder,New,New Construction,Builder Floors,1,Unfurnished,Ready to Move,North,5340967
T Nagar,3,3,1701,950,Builder,New,Under Construction,Builder Floors,1,Semi-Furnished,Under Construction,East,18004354
Ambattur,2,2,21000,834,Individual,Resale,0 to 5 years,Builder Floors,1,Semi-Furnished,Ready to Move,East,200000000
